[2018-01-01 00:00:11] --- BALL preview start ---
[2018-01-01 00:00:13] K230 BALL preview started: cv_lite circle detection
[2018-01-01 00:00:14] ball: center_px=68 center_px_avg=67.71091 reference_px=160 x_mm=-46.00 valid=1 fps=34.5
[2018-01-01 00:00:15] ball: center_px=68 center_px_avg=67.58276 reference_px=160 x_mm=-46.00 valid=1 fps=31.3
[2018-01-01 00:00:15] ball: center_px=68 center_px_avg=68.00525 reference_px=160 x_mm=-46.00 valid=1 fps=38.0
[2018-01-01 00:00:16] ball: center_px=None center_px_avg=68.00237 reference_px=160 x_mm=-46.00 valid=1 fps=42.6
[2018-01-01 00:00:17] ball: center_px=68 center_px_avg=68.00002 reference_px=160 x_mm=-46.00 valid=1 fps=45.0
[2018-01-01 00:00:17] ball: center_px=68 center_px_avg=67.43131 reference_px=160 x_mm=-46.00 valid=1 fps=46.9
[2018-01-01 00:00:18] ball: center_px=68 center_px_avg=68.05093 reference_px=160 x_mm=-46.00 valid=1 fps=48.6
[2018-01-01 00:00:19] ball: center_px=68 center_px_avg=67.92395 reference_px=160 x_mm=-46.00 valid=1 fps=48.8
[2018-01-01 00:00:19] ball: center_px=68 center_px_avg=67.93801 reference_px=160 x_mm=-46.00 valid=1 fps=49.7
[2018-01-01 00:00:20] ball: center_px=68 center_px_avg=68.0124 reference_px=160 x_mm=-46.00 valid=1 fps=47.6
[2018-01-01 00:00:21] ball: center_px=None center_px_avg=68.06714 reference_px=160 x_mm=-46.00 valid=1 fps=49.1
[2018-01-01 00:00:21] ball: center_px=68 center_px_avg=68.21313 reference_px=160 x_mm=-46.00 valid=1 fps=48.2
[2018-01-01 00:00:22] ball: center_px=68 center_px_avg=67.89541 reference_px=160 x_mm=-46.00 valid=1 fps=48.0
[2018-01-01 00:00:23] ball: center_px=68 center_px_avg=67.99987 reference_px=160 x_mm=-46.00 valid=1 fps=45.6
[2018-01-01 00:00:23] ball: center_px=68 center_px_avg=68.0885 reference_px=160 x_mm=-46.00 valid=1 fps=45.6
[2018-01-01 00:00:24] ball: center_px=68 center_px_avg=68.32014 reference_px=160 x_mm=-46.00 valid=1 fps=46.5
[2018-01-01 00:00:25] ball: center_px=68 center_px_avg=67.937 reference_px=160 x_mm=-46.00 valid=1 fps=47.4
[2018-01-01 00:00:25] ball: center_px=68 center_px_avg=67.99991 reference_px=160 x_mm=-46.00 valid=1 fps=47.2
[2018-01-01 00:00:26] ball: center_px=68 center_px_avg=67.99999 reference_px=160 x_mm=-46.00 valid=1 fps=47.7
[2018-01-01 00:00:27] ball: center_px=68 center_px_avg=68.25662 reference_px=160 x_mm=-46.00 valid=1 fps=46.9
[2018-01-01 00:00:27] ball: center_px=68 center_px_avg=68.01159 reference_px=160 x_mm=-46.00 valid=1 fps=47.5
[2018-01-01 00:00:28] ball: center_px=68 center_px_avg=67.99584 reference_px=160 x_mm=-46.00 valid=1 fps=48.0
[2018-01-01 00:00:29] ball: center_px=68 center_px_avg=68.14233 reference_px=160 x_mm=-46.00 valid=1 fps=48.0
[2018-01-01 00:00:29] ball: center_px=68 center_px_avg=68.00023 reference_px=160 x_mm=-46.00 valid=1 fps=48.6
[2018-01-01 00:00:30] ball: center_px=68 center_px_avg=68.00002 reference_px=160 x_mm=-46.00 valid=1 fps=49.1
[2018-01-01 00:00:31] ball: center_px=68 center_px_avg=68.00097 reference_px=160 x_mm=-46.00 valid=1 fps=49.5
[2018-01-01 00:00:31] ball: center_px=68 center_px_avg=67.99424 reference_px=160 x_mm=-46.00 valid=1 fps=48.8
[2018-01-01 00:00:32] ball: center_px=68 center_px_avg=67.98241 reference_px=160 x_mm=-46.00 valid=1 fps=49.3
[2018-01-01 00:00:32] ball: center_px=68 center_px_avg=68.08388 reference_px=160 x_mm=-46.00 valid=1 fps=49.7
[2018-01-01 00:00:33] ball: center_px=68 center_px_avg=68.00011 reference_px=160 x_mm=-46.00 valid=1 fps=48.8
[2018-01-01 00:00:34] ball: center_px=68 center_px_avg=68.00002 reference_px=160 x_mm=-46.00 valid=1 fps=49.2
[2018-01-01 00:00:34] ball: center_px=68 center_px_avg=67.99764 reference_px=160 x_mm=-46.00 valid=1 fps=49.0
[2018-01-01 00:00:35] ball: center_px=68 center_px_avg=67.99999 reference_px=160 x_mm=-46.00 valid=1 fps=48.5
[2018-01-01 00:00:36] ball: center_px=68 center_px_avg=67.99999 reference_px=160 x_mm=-46.00 valid=1 fps=48.9
[2018-01-01 00:00:36] ball: center_px=68 center_px_avg=68.03339 reference_px=160 x_mm=-46.00 valid=1 fps=49.3
[2018-01-01 00:00:37] ball: center_px=68 center_px_avg=68.06564 reference_px=160 x_mm=-46.00 valid=1 fps=49.5
[2018-01-01 00:00:38] ball: center_px=68 center_px_avg=67.86901 reference_px=160 x_mm=-46.00 valid=1 fps=49.1
[2018-01-01 00:00:38] ball: center_px=68 center_px_avg=67.79504 reference_px=160 x_mm=-46.00 valid=1 fps=49.2
[2018-01-01 00:00:39] ball: center_px=68 center_px_avg=68.05172 reference_px=160 x_mm=-46.00 valid=1 fps=49.1
[2018-01-01 00:00:40] ball: center_px=68 center_px_avg=67.99216 reference_px=160 x_mm=-46.00 valid=1 fps=49.0
[2018-01-01 00:00:40] ball: center_px=68 center_px_avg=67.7952 reference_px=160 x_mm=-46.00 valid=1 fps=49.2
[2018-01-01 00:00:41] ball: center_px=68 center_px_avg=68.00436 reference_px=160 x_mm=-46.00 valid=1 fps=49.1
[2018-01-01 00:00:42] ball: center_px=68 center_px_avg=67.95706 reference_px=160 x_mm=-46.00 valid=1 fps=49.0
[2018-01-01 00:00:42] ball: center_px=68 center_px_avg=68.00117 reference_px=160 x_mm=-46.00 valid=1 fps=49.3
[2018-01-01 00:00:43] ball: center_px=68 center_px_avg=67.98875 reference_px=160 x_mm=-46.00 valid=1 fps=49.6
[2018-01-01 00:00:44] ball: center_px=68 center_px_avg=67.99999 reference_px=160 x_mm=-46.00 valid=1 fps=49.8
[2018-01-01 00:00:44] ball: center_px=68 center_px_avg=67.99999 reference_px=160 x_mm=-46.00 valid=1 fps=49.5
