[2018-01-01 00:27:26] --- BALL preview start ---
[2018-01-01 00:27:28] K230 BALL preview started: cv_lite circle detection
[2018-01-01 00:28:01] ball: center_px=162 center_px_avg=160.8106 reference_px=160 x_mm=1.00 valid=1 fps=48.7
[2018-01-01 00:28:02] ball: center_px=162 center_px_avg=160.5703 reference_px=160 x_mm=1.00 valid=1 fps=49.0
[2018-01-01 00:28:02] ball: center_px=158 center_px_avg=159.7046 reference_px=160 x_mm=-1.00 valid=1 fps=49.1
[2018-01-01 00:28:03] ball: center_px=162 center_px_avg=160.4181 reference_px=160 x_mm=1.00 valid=1 fps=48.6
[2018-01-01 00:28:04] ball: center_px=158 center_px_avg=160.2035 reference_px=160 x_mm=-1.00 valid=1 fps=48.9
[2018-01-01 00:28:04] ball: center_px=162 center_px_avg=159.8242 reference_px=160 x_mm=1.00 valid=1 fps=49.1
[2018-01-01 00:28:05] ball: center_px=162 center_px_avg=160.3148 reference_px=160 x_mm=1.00 valid=1 fps=49.0
[2018-01-01 00:28:06] ball: center_px=160 center_px_avg=160.129 reference_px=160 x_mm=0.00 valid=1 fps=49.3
[2018-01-01 00:28:06] ball: center_px=160 center_px_avg=160.4474 reference_px=160 x_mm=0.00 valid=1 fps=49.1
[2018-01-01 00:28:07] ball: center_px=162 center_px_avg=160.1398 reference_px=160 x_mm=1.00 valid=1 fps=49.1
[2018-01-01 00:28:08] ball: center_px=160 center_px_avg=160.4795 reference_px=160 x_mm=0.00 valid=1 fps=48.8
[2018-01-01 00:28:08] ball: center_px=162 center_px_avg=160.8181 reference_px=160 x_mm=1.00 valid=1 fps=48.8
[2018-01-01 00:28:09] ball: center_px=158 center_px_avg=159.0687 reference_px=160 x_mm=-1.00 valid=1 fps=49.0
[2018-01-01 00:28:10] ball: center_px=162 center_px_avg=160.1385 reference_px=160 x_mm=1.00 valid=1 fps=49.1
[2018-01-01 00:28:10] ball: center_px=158 center_px_avg=159.5461 reference_px=160 x_mm=-1.00 valid=1 fps=49.1
[2018-01-01 00:28:11] ball: center_px=158 center_px_avg=158.7871 reference_px=160 x_mm=-1.00 valid=1 fps=49.0
[2018-01-01 00:28:12] ball: center_px=160 center_px_avg=160.636 reference_px=160 x_mm=0.00 valid=1 fps=49.1
