[2018-01-01 00:41:29] --- BALL preview start ---
[2018-01-01 00:41:31] K230 BALL preview started: cv_lite circle detection
[2018-01-01 00:41:32] ball: center_px=254 center_px_avg=252.6865 reference_px=160 x_mm=47.00 valid=1 fps=58.8
[2018-01-01 00:41:33] ball: center_px=254 center_px_avg=253.2436 reference_px=160 x_mm=47.00 valid=1 fps=38.5
[2018-01-01 00:41:34] ball: center_px=252 center_px_avg=253.4328 reference_px=160 x_mm=46.00 valid=1 fps=44.1
[2018-01-01 00:41:34] ball: center_px=252 center_px_avg=252.8539 reference_px=160 x_mm=46.00 valid=1 fps=47.6
[2018-01-01 00:41:35] ball: center_px=252 center_px_avg=252.3762 reference_px=160 x_mm=46.00 valid=1 fps=48.1
[2018-01-01 00:41:36] ball: center_px=252 center_px_avg=252.8165 reference_px=160 x_mm=46.00 valid=1 fps=50.8
[2018-01-01 00:41:36] ball: center_px=252 center_px_avg=252.9232 reference_px=160 x_mm=46.00 valid=1 fps=52.6
[2018-01-01 00:41:37] ball: center_px=252 center_px_avg=253.056 reference_px=160 x_mm=46.00 valid=1 fps=54.4
[2018-01-01 00:41:37] ball: center_px=252 center_px_avg=252.879 reference_px=160 x_mm=46.00 valid=1 fps=51.7
[2018-01-01 00:41:38] ball: center_px=254 center_px_avg=253.0557 reference_px=160 x_mm=47.00 valid=1 fps=51.3
[2018-01-01 00:41:39] ball: center_px=254 center_px_avg=253.4838 reference_px=160 x_mm=47.00 valid=1 fps=49.5
[2018-01-01 00:41:39] ball: center_px=252 center_px_avg=252.8452 reference_px=160 x_mm=46.00 valid=1 fps=50.4
[2018-01-01 00:41:40] ball: center_px=252 center_px_avg=253.154 reference_px=160 x_mm=46.00 valid=1 fps=50.0
[2018-01-01 00:41:41] ball: center_px=252 center_px_avg=253.2442 reference_px=160 x_mm=46.00 valid=1 fps=50.9
[2018-01-01 00:41:41] ball: center_px=252 center_px_avg=252.8291 reference_px=160 x_mm=46.00 valid=1 fps=50.5
[2018-01-01 00:41:42] ball: center_px=252 center_px_avg=252.9716 reference_px=160 x_mm=46.00 valid=1 fps=51.3
[2018-01-01 00:41:43] ball: center_px=254 center_px_avg=253.2017 reference_px=160 x_mm=47.00 valid=1 fps=52.0
[2018-01-01 00:41:43] ball: center_px=254 center_px_avg=253.6945 reference_px=160 x_mm=47.00 valid=1 fps=52.5
[2018-01-01 00:41:44] ball: center_px=252 center_px_avg=252.8056 reference_px=160 x_mm=46.00 valid=1 fps=53.1
[2018-01-01 00:41:45] ball: center_px=252 center_px_avg=253.1184 reference_px=160 x_mm=46.00 valid=1 fps=53.5
[2018-01-01 00:41:45] ball: center_px=252 center_px_avg=252.9441 reference_px=160 x_mm=46.00 valid=1 fps=54.1
[2018-01-01 00:41:46] ball: center_px=254 center_px_avg=253.8452 reference_px=160 x_mm=47.00 valid=1 fps=54.3
[2018-01-01 00:41:47] ball: center_px=254 center_px_avg=253.473 reference_px=160 x_mm=47.00 valid=1 fps=54.6
[2018-01-01 00:41:47] ball: center_px=254 center_px_avg=253.7919 reference_px=160 x_mm=47.00 valid=1 fps=53.5
[2018-01-01 00:41:48] ball: center_px=254 center_px_avg=252.8606 reference_px=160 x_mm=47.00 valid=1 fps=53.8
[2018-01-01 00:41:49] ball: center_px=254 center_px_avg=253.2784 reference_px=160 x_mm=47.00 valid=1 fps=54.1
[2018-01-01 00:41:49] ball: center_px=254 center_px_avg=253.4008 reference_px=160 x_mm=47.00 valid=1 fps=54.4
[2018-01-01 00:41:50] ball: center_px=254 center_px_avg=253.5057 reference_px=160 x_mm=47.00 valid=1 fps=54.5
[2018-01-01 00:41:51] ball: center_px=254 center_px_avg=253.6284 reference_px=160 x_mm=47.00 valid=1 fps=54.3
[2018-01-01 00:41:51] ball: center_px=254 center_px_avg=253.4354 reference_px=160 x_mm=47.00 valid=1 fps=53.1
[2018-01-01 00:41:52] ball: center_px=254 center_px_avg=253.4775 reference_px=160 x_mm=47.00 valid=1 fps=53.5
[2018-01-01 00:41:52] ball: center_px=254 center_px_avg=252.9291 reference_px=160 x_mm=47.00 valid=1 fps=52.4
[2018-01-01 00:41:53] ball: center_px=254 center_px_avg=253.1532 reference_px=160 x_mm=47.00 valid=1 fps=52.5
